Stufe;Prüfungs-Satz;Frage;Antwort 1;Antwort 2;Antwort 3
Gold;Satz B;Was sind die Voraussetzungen, um an einem Einsatz teilnehmen zu können?;Bestandene Grundausbildungsprüfung, gültige Erste-Hilfe-Ausbildung;Mitführen eines gültigen Impfpasses, Bescheinigung der Einsatzbereitschaft durch den_die Leiter_in der Regionalstelle;Gesundheitliche Eingangsuntersuchung, gültiger Impfstatus*
Gold;Satz B;Wer ist für die Bereitstellung der Arbeitsschutzkleidung verantwortlich?;Jede_r Helfer_in selbst;Das THW*;Die Fachgruppe Logistik
Gold;Satz B;Was versteht man unter Arbeitsschutz?;Fürsorge von Vorgesetzten gegenüber den ihnen unterstellten THW-Angehörigen;Erhaltung und Schutz des Arbeitsplatzes bei längerfristiger Erkrankung eines THW-Angehörigen;Selbstfürsorge der THW-Angehörigen im Rahmen ihrer Mitwirkungspflicht*
Gold;Satz B;Wer ist für die Gefährdungsbeurteilung im Ortsverband verantwortlich?;Die Fachkraft für Arbeitssicherheit;Der_die Ortsbeauftragte*;Der_die Schirrmeister_in
Gold;Satz B;Welche Leinen/Seile dürfen zum Sichern von Personen verwendet werden?;Sicherheitsseile*;Arbeitsleinen;Jede Naturfaserleine
Gold;Satz B;Wie groß muss der Sicherheitsabstand bei unter Zug stehenden Drahtseilen mindestens sein?;Halbe Seillänge;Eineinhalbfache Seillänge*;Zweifache Seillänge
Gold;Satz B;Wie viel Grad Neigung soll der Anstellwinkel von Leitern betragen?;Ca. 45° - 55°;Ca. 65° - 75°;Ca. 90°
Gold;Satz B;Auf welche Netzspannung sind die Flutlichtleuchten ausgelegt?;12 Volt;24 Volt;230 Volt
Gold;Satz B;Mit welchem Betriebsstoff wird der Motor des tragbaren Stromerzeugers 8 kVA betrieben?;Kraftstoff-/Öl-Gemisch;Diesel;Benzin*
Gold;Satz B;Was ist beim Aufbau einer Flutlichtleuchte mit Stativ zu beachten?;Möglichst blendfrei aufstellen*;Sicheren Stand des Stativs herstellen*;Leitung stolperfrei verlegen*
Gold;Satz B;Wie lang soll die Spitze eines Holzpfahles sein?;Ca. einfacher Durchmesser des Pfahles;Ca. zweifacher Durchmesser des Pfahles*;Ca. dreifacher Durchmesser des Pfahles
Gold;Satz B;Wie wird eine Bauklammer in Holz geschlagen?;Durch wechselseitige Schläge über den rechtwinklig abgebogenen Spitzen*;Durch Schläge auf die Mitte des Flach- oder Rundstahls;Durch wechselseitige Schläge auf die Mitte und die rechtwinklig abgebogenen Spitzen
Gold;Satz B;Worauf ist bei der Verwendung von Hämmern zu achten?;Auf festen Sitz von Stiel und Keil*;Der Stiel muss lackiert sein;Das Hammergewicht muss den Vorschriften entsprechen
Gold;Satz B;Wie löst man festsitzende Meißel?;Mit dem Stechbeitel;Mit dem Hebe-/Pressgerät, hydraulisch;Durch leichte seitliche Schläge*
Gold;Satz B;Welches Werkzeug kann zum Durchtrennen eines Gussrohres verwendet werden?;Trennschleifer*;Motorkettensäge;Bügelsäge
Gold;Satz B;Welche Schutzausstattung muss beim Gebrauch des Trennschleifers (neben dem Handschutz) unbedingt getragen werden?;Lederschürze, Gürtel;Gummistiefel, Schnittschutzhose;Schutzbrille, Schutzhelm, Lederschürze, Gehörschutz*
Gold;Satz B;Was ist beim Anheben von Lasten zu beachten?;Seilhaken nach dem Anschlagen der Last sichern*;Mit den Händen nicht unter die Last greifen*;Ständiges Beobachten der anzuhebenden Last*
Gold;Satz B;Über welche Druck-, Kraft-, Hebezeuge verfügt die Bergungsgruppe?;Brechstange*;Hebe-/Pressgerät, hydraulisch*;Hebekissen*
Gold;Satz B;Wie weit muss das Hebekissen mit seiner Fläche mindestens unter die Last eingeschoben werden?;2/3 bzw. 3/4 der Kissenfläche*;1/2 bzw. 1/3 der Kissenfläche;1/3 bzw. 4/5 der Kissenfläche
Gold;Satz B;Welche Sicherheitsmaßnahmen sind beim Arbeiten mit Hebekissen zu ergreifen?;Last gegen Wegrutschen sichern*;Last bei fortschreitendem Hub laufend unterbauen*;Hebekissen nicht an scharfen Kanten ansetzen*
Gold;Satz B;Was ist beim Durchschreiten unbekannter Gewässer als erste Maßnahme durchzuführen?;Übergangsstelle kennzeichnen;Beschaffenheit der Übergangsstelle feststellen (Tiefen loten);Erkundende Helfer_innen sichern
Gold;Satz B;Wie sind an besonders gefährdeten Einsatzpunkten am Wasser eingesetzte Helfer_innen zu sichern?;Nur mit Sicherheitsseil;Nur mit Rettungsweste;Mit Sicherungsseil und THW-Rettungsweste*
Gold;Satz B;Was ist sofort zu tun, wenn ausströmendes Gas vermutet wird?;Windrichtung beachten*;Gaskonzentration messen;Meldung an die Führungskraft*
Gold;Satz B;Wie hast du dich als Helfer_in vor, während und nach der Fahrt mit Einsatzfahrzeugen zu verhalten?;Helm nicht in der Hand halten*;Bei Halt des Einsatzfahrzeuges dieses sofort verlassen;Auf- und Absitzen nur auf Anweisung*
Gold;Satz B;Warum besteht an der Einsatzstelle Rauch- und Alkoholverbot? ;Es besteht kein solches Verbot;Erhöhte Selbstgefährdung*;Die Einsatzfähigkeit wird verringert*
Gold;Satz B;Wozu gehört die Abkürzung 5A B C D 5E?;Gefahrstoffkennung nach GHS;Gefahrenmerkschema THW*;Koordinatenangabe im THW
Gold;Satz B;Wer muss über die Gefahren, die aus einem Einsatz entstehen können, informiert sein?;Nur der_die Auftraggeber_in;Nur der_die Einheitsführer_in;Alle Einsatzbeteiligten*
Gold;Satz B;Wer darf Medienvertreter_innen gegenüber Aussagen zum Einsatz machen?;Jede_r Helfer_in;Nur der_die Einsatzleiter_in*;Der_die Gruppenführer_in
Gold;Satz B;Wen unterstützt das ENT?;Ehrenamtliche und hauptamtliche THW-Kräfte*;Nur ehrenamtliche THW-Einsatzkräfte;Nur hauptamtliche THW-Kräfte
Gold;Satz B;Wie können verletzte Personen transportiert werden?;Mit der Krankentrage*;Mit behelfsmäßigen Tragen*;Mit zwei Einsatzkräften auch ohne Hilfsmittel*
Gold;Satz B;Was sind die 5 Phasen der Rettung/Bergung?;Schauen - Sondieren - Selektieren - Verteilen - Retten;Erkunden - Absuchen - Durchforschen - Eindringen - Beräumen*;Erkennen - Bewerten - Entscheiden - Handeln - Evaluieren
Gold;Satz B;Aus welcher Richtung sollen allgemein Brände bekämpft werden?;Mit der Windrichtung;Entgegen der Windrichtung*;Von links nach rechts
Gold;Satz B;Was ist vor der Inbetriebnahme des hydraulischen Rettungssatzes zu überprüfen?;Ölstand auf Maximum*;Kraftstoffbehälter gefüllt*;Höchstdruckschläuche knick- und drallfrei ausgelegt*
Gold;Satz B;Welche Funkstelle ist Funkleitung in einem Sprechfunkverkehrskreis?;Zivilschutzleitstelle;Betriebsleitung;Relaisstelle*
Gold;Satz B;"Seit wann wird der ""Euro"" als Bargeld eingesetzt?";01.01.2002*;31.12.2001;01.01.2000
Gold;Satz C;Welche Aus- und Fortbildungsstufen gibt es im THW? ;Ortsverband, Landesverband und Leitung;Ausbildungszentrum und Standort;Grund-, Fach- und Weiterbefähigung*
Gold;Satz C;Welche Pflichten entstehen für dich durch die Mitwirkung im THW als Helfer_in?;Regelmäßige Teilnahme an Dienstveranstaltungen*;Teilnahme an Ausbildungsmaßnahmen*;Teilnahme an Übungen und Einsätzen*
Gold;Satz C;Welche der nebenstehenden Aufgaben nimmt das THW wahr?;Bau und Instandsetzung von Freileitungen*;Rettung Verschütteter*;Abstützen einsturzgefährdeter Gebäude*
Gold;Satz C;Welche Aufgaben hat der Zugtrupp?;Zugführung und andere Führungsaufgaben*;Verkehrskontrolle durchführen;Lotsenstellen einrichten*
Gold;Satz C;Wem muss ich als Helfer_in meine Mitwirkung im THW mitteilen?;Arbeitgeber_in*;Einwohnermeldeamt;Arbeitsagentur bzw. Jobcenter der Stadt/des Kreises im Falle einer Arbeitslosigkeit*
Gold;Satz C;Wie werden kennzeichnungspflichtige Gefahrguttransporte unter anderem gekennzeichnet?;Orange Warntafel*;Gar nicht;Rote Flagge
Gold;Satz C;Welche Bedeutung hat die untere Nummernkombination auf einer orangefarbenen Kennzeichnung (Warntafel) z. B. an einem LKW?;Nummer zur Kennzeichnung des Gutes (UN-Nummer);Nummer zur Kennzeichnung der Gefahr;Fahrzeugkennzeichen
Gold;Satz C;Wo kann ich Informationen über einen Gefahrstoff erhalten?;Sicherheitsdatenblatt;In der StAN;Auf dem Etikett der Verpackung*
Gold;Satz C;Wie groß sind bei Gefahrstoffunfällen im Regelfall die Radien von Gefahren- und Absperrbereich um das Schadenobjekt?;20 m und 30 m;5 m und nach Bedarf;50 m, 300 m und 500 m*
Gold;Satz C;Wozu dürfen Arbeitsleinen eingesetzt werden?;Zur Absturzsicherung;Zum Ablassen und Hochziehen von Personen;Zum Absperrren oder Anschlagen von Lasten*
Gold;Satz C;Mit welcher Verbindung werden Leinen gleichen Durchmessers verlängert?;Wickelbund;Mastwurf;Doppelstich*
Gold;Satz C;Welche Arten von Leitersicherungen können angewandt werden?;Nur Fußpunktsicherung;Nur Kopfpunktsicherung;Fuß- und/oder Kopfpunktsicherung*
Gold;Satz C;Mit welcher Leistung darf der tragbare Stromerzeuger in der Regel maximal belastet werden?;100 % der Nennleistung;80 % der Nennleistung*;30 % der Nennleistung
Gold;Satz C;In welcher Stellung muss der Choke bei Inbetriebnahme des kalten Motors des tragbaren Stromerzeugers ohne Startautomatik stehen?;Herausgezogen (geschlossen);Eingeschoben (offen);Mittelstellung
Gold;Satz C;Wie wird der Motor des tragbaren Stromerzeugers stillgesetzt (für kurzzeitige Außerbetriebnahme)?;Zündkabel abziehen;Luftklappe schließen;Unterbrecherknopf betätigen
Gold;Satz C;Welche der aufgeführten Werkzeuge sind Holzbearbeitungswerkzeuge?;Zugmesser*;Spitzmeißel;Stangen-Schlangenbohrer*
Gold;Satz C;Welche Handschuhe dürfen auf keinen Fall bei der Steinbearbeitung getragen werden?;Hitzeschutzhandschuhe;Gummihandschuhe;Lederschutzhandschuhe (Stulpe) oder Einsatzhandschuhe
Gold;Satz C;Welche Handschuhe dürfen auf keinen Fall bei der Steinbearbeitung getragen werden?;Hitzeschutzhandschuhe;Gummihandschuhe;Lederschutzhandschuhe (Stulpe) oder Einsatzhandschuhe
Gold;Satz C;Was ist beim Standortwechsel mit dem Elektro-Trennschleifer zu beachten?;Finger nicht am Ein-/Ausschalter halten;Vorher Trennscheibe ausbauen;Gerät ausschalten
Gold;Satz C;Mit welcher Umdrehungszahl der Trennscheibe sind Trennschleifer an das Werkstück anzusetzen?;Bei Stillstand;Bei Anlaufdrehzahl;Bei Höchstdrehzahl*
Gold;Satz C;Mit welcher Trennscheibe darf Aluminium durchtrennt werden?;Kunstharztrennscheibe Metall*;Kunstharztrennscheibe Asphalt;Kunstharztrennscheibe Stein
Gold;Satz C;An welchem Druck-, Kraft-, Hebezeug kann ein Schnellstopp durchgeführt werden?;Am Hebekissen;Am Zuggerät;Am Hebe-/Pressgerät, hydraulisch*
Gold;Satz C;An welchem Gerät befinden sich Höchstdruckschläuche?;Am Brennschneidgerät;Am Hebe-/Pressgerät, hydraulisch;Am Rettungsgerätesatz Schere/Spreizer*
Gold;Satz C;Wo sind die Scherstifte im Zuggerät eingebaut?;Am Rückzughebel;An den Klemmbacken;Am Vorschubhebel*
Gold;Satz C;Wie viele Personen dürfen gleichzeitig unter einer schwebenden Last stehen?;Eine Person;Nur Führungskräfte;Keine Personen*
Gold;Satz C;Zwei Helfer_innen haben den Auftrag, ein langes Rohr quer durch ein unbekanntes fließendes Gewässer zu tragen. Wie ist die Last zu tragen?;Das Tragen von Lasten durch unbekanntes fließendes Gewässer ist verboten;Nach Oberstrom;Nach Unterstrom*
Gold;Satz C;Welche Schutzmaßnahme ist vor dem Betreten von überfluteten Räumen als Erstes zu treffen?;Anlegen von Rettungswesten;Sichern von Treibgut;Sicherstellen, dass die Stromversorgung abgeschaltet wurde*
Gold;Satz C;Mit welchen Gefahren muss beim Einstieg in Tanks, Silos, Gruben oder Schächte gerechnet werden?;Explosionsgefahr durch Gase*;Gefahr durch Atemgifte*;Gefahr durch Absturz*
Gold;Satz C;Was soll bei der Erkundung festgestellt werden? ;Ob und wo Menschen in Gefahr sind*;Wie groß der Schadensumfang ist*;Wo und wann ein schnelles Eindringen in die Schadensstelle möglich ist*
Gold;Satz C;Welche Ausstattung dient der Eigensicherung auf Verkehrswegen?;Warnweste*;Warnschilder (dreiseitig, faltbar);Leitkegel mit Warnblitzleuchte
Gold;Satz C;Was ist beim Einsatz auf Bahnanlagen zu beachten?;Arbeiten auf Bahnanlagen dürfen erst nach Absprache mit dem Bahnpersonal durchgeführt werden*;Auf die stromführenden Leitungen achten*;Den Weisungen des Bahnpersonals ist Folge zu leisten*
Gold;Satz C;Welches Löschmittel darf auf keinen Fall für brennende Öle und Fette verwendet werden?;ABC-Pulverlöscher;Wasser*;Kohlendioxidlöscher
Gold;Satz C;Stressbelastungsreaktionen sind…;... eine krankhafte Reaktion des Körpers;... eine normale Reaktion auf ein außergewöhnliches Ereignis*;... eine außergewöhnliche Reaktion auf ein normales Ereignis
Gold;Satz C;Wer kann zu erfolgreichem Stressmanagement beitragen?;Ich selbst*;Meine Führungskraft*;Das ENT*
Gold;Satz C;In welcher Reihenfolge werden die nachfolgenden Aufgaben im Einsatz abgearbeitet?;1. Sachgüter - 2. Menschenleben - 3. Tiere;1. Menschenleben - 2. Sachgüter - 3. Tiere;1. Menschenleben - 2. Tiere - 3. Sachgüter*
Gold;Satz C;Was ist beim Retten/Bergen verschütteter Personen zu beachten?;Nachrutschen von Trümmern ist zu verhindern*;Die verletzte Person ist warm zu halten*;Ein_e Ansprechpartner_in sollte bei der verletzten Person bleiben*
Gold;Satz C;Welche Bedeutung haben die Brandklassen bei Feuerlöschern?;Sie sagen etwas über die Einsatzmöglichkeiten aus*;Sie sagen etwas über den Inhalt aus;Sie kennzeichnen die Verwendungsdauer
Gold;Satz C;Was verbirgt sich hinter der Kennzeichnung eines Handfeuerlöschers für die Brandklasse A?;Hiermit können feste oder glutbildende Stoffe gelöscht werden*;Hiermit können gasförmige Stoffe gelöscht werden;Hiermit können flüssige Stoffe gelöscht werden.
Gold;Satz C;Welches Kennwort als Funkrufnamenbestandteil haben Funkanlagen im 2-m-Band/BOS beim Technischen Hilfswerk?;Äskulap;Heros*;Florentine
Gold;Satz C;Ein_e Junghelfer_in, 13 Jahre, möchte am Abend um 23.00 Uhr alleine in die Spätvorstellung im Kino. Ist dies erlaubt?;Nein*;Ja;Abhängig von der Jahreszeit
Gold;Satz D;Wer von den genannten Funktionsträgern_innen ist Mitglied im Ortsausschuss?;Der_die Ortsbeauftragte*;Der_die Helfersprecher_in*;Der_die Sicherheitsbeauftragte 
Gold;Satz D;Wer entscheidet über den Aufnahmeantrag zur Mitwirkung im THW? ;Der_die Ortsbeauftragte*;Der_die Leiter_in der Regionalsstelle;Der_die Bürgermeister_in 
Gold;Satz D;Mit welchen Maßnahmen musst du rechnen, wenn du gegen die Dienstpflichten im THW verstößt?;Ermahnung*;Keine Maßnahmen;Entlassung*
Gold;Satz D;Welche Fachgruppen gibt es im THW?;Betreuung;Trinkwasserversorgung*;Räumen*
Gold;Satz D;Zu welcher (Teil-) Einheit des Technischen Zuges gehört der MTW?;Zugtrupp*;Bergungsgruppe;Fachgruppe Wassergefahren
Gold;Satz D;Wie muss der Multifunktionale Einsatzschutzanzug des THW gepflegt werden?;95° C Kochwäsche;Laut Pflegeanleitung des Herstellers*;Grundsätzlich mit Kernseife
Gold;Satz D;Wofür steht die Abkürzung CBRN? ;Chemisch, biogen, radioaktiv, nuklear;Chemisch, bioaktiv, radiologisch, natürlich;Chemisch, biologisch, radiologisch, nuklear*
Gold;Satz D;Wie oft ist in der Dienststelle eine Evakuierungsübung durchzuführen?;Bei Bedarf;Mindestens einmal jährlich*;"Nach jedem Wechsel eines_einer
Ortsbeauftragten"
Gold;Satz D;Wovon können biologische Gefahren ausgehen?;Bakterien, Viren, Pilze, Algen*;Toxine, z. B. Ricin, Botulinumtoxin, usw.*;Flöhe, Fliegen, Mücken, Zecken, usw*
Gold;Satz D;Wie lang ist eine Arbeitsleine (nach StAN)?;6,5 m/15,0 m;12,0 m/25,0 m;10,0 m/20,0 m*
Gold;Satz D;Woran ist ein Sicherheitsseil eindeutig zu erkennen?;"An der Farbe ""Grün""";An den Angaben des Herstelleretikettes*;Am Durchmesser
Gold;Satz D;Wozu dürfen THW-Kombinationsleitern eingesetzt werden?;Zum Überwinden von Gräben;Zum längerfristigen Arbeiten in großen Höhen;Zum Besteigen von Objekten*
Gold;Satz D;Dürfen Steckleitern zum Überwinden von Gräben und Spalten eingesetzt werden?;Ja*;Nein;Nur kurzfristig
Gold;Satz D;Wie wird der tragbare Stromerzeuger gestartet?;Durch Seilzug*;Durch Anlasser*;Durch Fremdstarten
Gold;Satz D;Was ist beim Nachtanken eines tragbaren Stromerzeugers (ohne Fremdbetankungsgerät) zu beachten?;Motor muss abgestellt sein*;Motor kann laufen;Benzinhahn muss geschlossen sein*
Gold;Satz D;An welchem Ende eines Holzpfahles erfolgt das Anspitzen?;Am Zopfende*;Am Stammende;Am Stamm- oder Zopfende
Gold;Satz D;Welche Werkzeuge können zum Anfertigen eines Mauerdurchbruchs von Hand benutzt werden?;Klöpfel und Stechbeitel;Fäustel und Flach- oder Spitzsteinmeißel*;Stangen-Schlangenbohrer
Gold;Satz D;Welche Härte muss der Werkstoff eines Werkzeuges für Metallbearbeitung gegenüber dem zu bearbeitenden Werkstoff besitzen?;Härter*;Gleich hart;Weicher
Gold;Satz D;Mit welchem Werkzeug werden Blechkanten und Rohre entgratet?;Mit der Feile*;Mit dem Meißel;Mit der Handblechschere
Gold;Satz D;"Was ist unter dem Begriff ""Lose Rolle"" zu verstehen?";Querriegel zur Befestigung von Stropps;Kloben (Rolle) an Festpunkt angeschlagen;Kloben (Rolle) an Last angeschlagen*
Gold;Satz D;Welche Zugkraft hat das Zuggerät der Bergungsgruppe im direkten Zug?;15/16 kN*;20/25 kN;60/70 kN
Gold;Satz D;Bei welcher Überbelastung scheren die Scherstifte des Zuggerätes ab?;0 - 10 %;25 - 50 %;100%
Gold;Satz D;Wofür darf der Klappkloben (32 kN) aus der Bergungsgruppe verwendet werden?;Arbeiten mit der Seilwinde*;Anheben von Lasten bis 32 kN*;Arbeiten mit dem Zuggerät*
Gold;Satz D;Wie viele Hebekissen des Hebekissensatzes der Bergungsgruppe dürfen beim Anheben einer Last übereinander gelegt werden?;2 Hebekissen*;4 Hebekissen;Beliebig viele
Gold;Satz D;Welche Druckluftquellen dürfen mit dem Steuerorgan des Hebekissens verbunden werden?;Kfz-Reifenfüllanlage*;Kfz-Zweikreisbremssystem*;Druckluftflaschen 200/300 bar*
Gold;Satz D;"Was ist ausschlaggebend für die Bezeichnung ""linkes Ufer"" und ""rechtes Ufer""?";Die Stromrichtung*;Der eigene Standort;Die Himmelsrichtung
Gold;Satz D;Was ist bei der Verwendung eines Wasser führenden Schlauches über die Straße zu beachten?;Die Straße ist zu sperren;Schläuche sind immer an der gleichen Stelle zu überqueren;"Es sind ausschließlich Schlauchbrücken zu
verwenden*"
Gold;Satz D;Welcher Mindestabstand ist vom Punkt der Bodenberührung einer abgerissenen Hochspannungsleitung zu halten?;15,00 m;20,00 m*;3,00 m
Gold;Satz D;Wer ist verpflichtet zu melden?;Nur der_die Zugführer_in;Nur der_die Gruppenführer_in;Jede Einsatzkraft*
Gold;Satz D;Zu welcher Brandklasse gehören flüssige oder flüssig werdende Stoffe?;Brandklasse C;Brandklasse B;Brandklasse D
Gold;Satz D;Wer kann mir im Einsatz einen Befehl erteilen?;Der_die Polizist_in;Mein_e direkte_r Vorgesetzte_r*;Der_die Leiter_in der Regionalsstelle
Gold;Satz D;Was ist mit einem_einer Helfer_in zu tun, der_die infolge des Dienstgeschehens akute Belastungsreaktionen zeigt?;Er_sie ist auf die Versorgungsangebote der Einsatznachsorge hinzuweisen. Unterstützung, wie z. B. das Anbieten eines Einsatznachsorgegespräches, ist zu veranlassen.*;"Man sollte ihn_sie alleine mit seinen_ihren
möglichen Problemen lassen ";Alle Helfer_innen der Gruppe informieren 
Gold;Satz D;Wann muss ich meine Dienstunfähigkeit melden?;Wenn ich Drogen oder Alkohol konsumiert habe*;Wenn ich Medikamente eingenommen habe, die mich in meiner Wahrnehmung und/oder Handlungsfähigkeit einschränken könnten.*;"Wenn eine Arbeitsunfähigkeit durch einen
Arzt_eine Ärztin attestiert wurde"
Gold;Satz D;Wer darf eine_n Helfer_in in den Einsatz entsenden?;Der_die Ortsbeauftragte*;Der_die Helfer_in selbst;Der_die Landessprecher_in
Gold;Satz D;Worauf ist bei der Außerbetriebnahme des hydraulische Spreizers zu achten?;Spreizarme dürfen nicht ganz geschlossen sein*;Spreizarme müssen ganz geschlossen sein;Spreizarme sind abzumontieren
Gold;Satz D;Welche Schutzausstattung muss beim Arbeiten mit dem hydraulischen Rettungssatz getragen werden?;Schutzhelm mit Vollgesichtsschutz*;Lederschutzhandschuhe (Stulpe lang)*;Vollständige Einsatzbekleidung*
Gold;Satz D;Wozu kann der hydraulische Spreizer verwendet werden?;Als Zuggerät (mit den dazugehörigen Ketten)*;Zum Quetschen von Rohren*;Zum kurzzeitigen Anheben von Lasten*
Gold;Satz D;An welcher übergeordneten Funkstelle meldet man sich im Sprechfunkverkehr an?;Betriebsleitung (Leitstelle)*;Zivilschutzstelle;Leitstelle der Polizei
Gold;Satz D;Wer wählt den_die Ortsjugendleiter_in?;Alle Helfer_innen im Ortsverband;Der OV-Stab;Alle aktiven Mitglieder der Ortsjugend*
Gold;Satz D;Wo sitzt das EU-Parlament?;Brüssel;Schengen;Straßburg*
Orange;Satz A;Zeige den GKW. ;Bild GKW*;Bild Radlader;Bild MTW
Orange;Satz A;Zeige den Doppelstich ;Bild Doppelstich*;Bild Mastwurf;Bild Bockschnürbund
Orange;Satz A;Zeige die deutsche Flagge;Bild deutsche Flagge*;Bild belgische Flagge;Bild Schweizer Flagge
Orange;Satz A;Finde den Feuerlöscher;Bild KübelSpritze;Bild Feuerlöscher*;Bild Gießkanne
Orange;Satz A;Zeige auf die Farben des Leistungsabzeichens;Bilder Blau,Orange,Bronze,Silber, Gold*;Bild Farben;Bild Farben
Orange;Satz B ;Was brauchst du beim Ausleuchten einer Gefahrenstelle?;Bild Flutlichtleuchte*;Bild Schlauch;Bild Schleifkorb
Orange;Satz B;Welches Kennwort als Funkrufnamenbestandteil haben Funkanlagen im 2 m Band/BOS beim Technischen Hilfswerk?;Äskulap;Heros*;Florentine
Orange;Satz B;Zeige die Arbeitsleine;Bild Springseil;Bild Sicherheitsleine;Bild Arbeitsleine*
Orange;Satz B;Lege die Notrufnummer (aus Einzelnummern: 2x1, 2x2, 2x3, 2x5);Zahlenbilder ;Zahlenbilder 112*;ZahlenBilder
Orange;Satz B;Zeige den Notausgang. ;Bild Notausgang*;Bild Helm;Bild Feuerlöscher
